EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
3.5154	1.3147	6.3383	6.7035	7.753	65.0971	123.0038	1178.1438	4.0623	16.534	8.2524	8.5515	12.9012	1.3981	133.8519	0.9685	32.1914	35.3938	1.3708	0.8980	1.5270	0.6419
3.9032	1.3266	6.3676	6.6447	7.7501	66.1667	120.1476	1184.33	4.3076	16.8387	8.2845	8.3659	13.6388	1.4148	139.2329	0.9725	32.6695	36.0114	1.4166	0.8906	1.5775	0.6520
3.8752	1.3072	6.3505	6.6453	7.7499	65.0262	120.0481	1143.199	4.2557	16.5697	8.27	8.3314	13.4928	1.4005	140.851	0.9687	32.4367	35.679	1.3889	0.8906	1.4941	0.6518
3.7858	1.3279	6.364	6.9555	7.7506	66.1	122.6432	1153.4721	4.3131	16.6306	8.6394	8.6829	14.1449	1.4143	141.9637	1.0098	32.6084	35.7784	1.3994	0.9322	1.5258	0.6582
3.8808	1.3713	6.4491	6.853	7.7507	66.5023	121.635	1169.9464	4.2791	17.0696	8.6971	8.4938	15.0024	1.4081	143.335	0.9951	32.7905	35.9936	1.3799	0.9184	1.4819	0.6675
4.0556	1.4208	6.5726	6.8743	7.7812	67.3332	118.2258	1203.3179	4.3388	18.0648	8.8194	8.5483	16.325	1.4325	143.5505	1.0082	33.4332	36.1226	1.4263	0.9212	1.5305	0.6948
3.9644	1.3797	6.5501	6.7287	7.7829	68.2395	114.6155	1216.2285	4.178	18.4332	8.6127	8.4804	15.7622	1.4052	143.639	0.992	33.2385	35.5955	1.4017	0.9016	1.5076	0.6998
3.698	1.3226	6.5027	6.6986	7.7604	66.8909	112.9317	1181.573	4.0644	17.6303	8.4754	8.3394	15.3792	1.3724	145.1335	0.9811	32.5874	35.2117	1.3326	0.8981	1.4826	0.7018
3.5634	1.2818	6.4754	6.5591	7.7556	66.4219	109.5519	1145.7967	3.8971	17.4795	8.2082	8.111	14.5868	1.3496	145.2019	0.9634	32.32	35.0629	1.3048	0.8814	1.4510	0.6984
3.5403	1.2945	6.5259	6.5762	7.7635	66.8895	108.8481	1173.7905	4.0375	18.136	8.2269	8.2154	15.3257	1.3695	145.9081	0.9777	32.539	35.4076	1.3665	0.8840	1.4691	0.6885
3.4234	1.2894	6.5892	6.621	7.762	67.2655	105.3509	1165.2023	4.0772	18.6538	8.3064	8.3043	15.05	1.3533	145.8609	0.9695	32.3	35.2668	1.3512	0.8903	1.4203	0.7044
3.2781	1.3052	6.6771	6.7293	7.7568	67.158	104.191	1140.865	4.0151	18.6155	8.4795	8.5722	14.393	1.3513	145.401	0.983	32.101	35.041	1.3282	0.9046	1.4021	0.7614
